orgId,condition_key,n_genes,cond_iqr,cond_mad
BFirm,d-alanine (n)|rch2_defined_glucose_nonitrogen|30,5428,0.3762955134815338,0.1860126453614635
BFirm,d-fructose (c)|rch2_defined_nocarbon|30,5428,0.27611525012898974,0.13753024600418337
BFirm,d-galactose (c)|rch2_defined_nocarbon|30,5428,0.29454803351360426,0.1459352908829675
BFirm,d-galacturonic acid (c)|rch2_defined_nocarbon|30,5428,0.360595526991009,0.1789789172478135
BFirm,d-gluconic acid (c)|rch2_defined_nocarbon|30,5428,0.2756136197218945,0.13797073627453948
BFirm,d-glucosamine hydrochloride (c)|rch2_defined_nocarbon|30,5428,0.29587349506572724,0.14796403409190456
BFirm,d-glucose (c)|rch2_defined_nocarbon|30,16284,0.325006140679514,0.161767166245585
BFirm,d-glucose 20 mm (c)|rch2_defined_nocarbon|30,10856,0.39390800792281677,0.19614739438043938
BFirm,d-lactate (c)|rch2_defined_nocarbon|30,5428,0.313022539201457,0.15370374160980393
BFirm,d-mannose (c)|rch2_defined_nocarbon|30,5428,0.2649429351056447,0.131555453225572
BFirm,d-ribose (c)|rch2_defined_nocarbon|30,5428,0.27619493123349603,0.13845427862454351
BFirm,d-sorbitol (c)|rch2_defined_nocarbon|30,5428,0.26333406595423625,0.13179798566176282
BFirm,d-xylose (c)|rch2_defined_nocarbon|30,5428,0.3719035864896195,0.1853691723268105
BFirm,deoxyribonucleic from herring sperm 10 mg/ml (c)|rch2_defined_nocarbon|30,10856,0.4926022203075067,0.24643295704896678
BFirm,dimethyl sulfoxide 6 vol%|lb|30,5428,0.2860251292762582,0.141138620873716
BFirm,gly-glu (c)|rch2_defined_nocarbon|30,5428,0.3378501950002465,0.16911546719778386
BFirm,"inner cut, lb soft agar motility assay|lb|30",16284,0.418380926091783,0.207467068964793
BFirm,l-alanine (c)|rch2_defined_nocarbon|30,5428,0.2881490274840065,0.14461820203152198
BFirm,l-alanine (n)|rch2_defined_glucose_nonitrogen|30,5428,0.3789915151327975,0.188901216307864
BFirm,l-arabinose (c)|rch2_defined_nocarbon|30,5428,0.3330540739890455,0.16636484601142548
BFirm,l-arginine (c)|rch2_defined_nocarbon|30,5428,0.30712043682513546,0.15125460515368278
BFirm,l-asparagine (c)|rch2_defined_nocarbon|30,5428,0.2776455347008727,0.137296837377255
BFirm,l-asparagine (n)|rch2_defined_glucose_nonitrogen|30,5428,0.37696586938185,0.1870907931542799
BFirm,l-citrulline (n)|rch2_defined_glucose_nonitrogen|30,5428,0.372372602545483,0.1847735289324115
BFirm,l-fucose (c)|rch2_defined_nocarbon|30,5428,0.4174566215314047,0.20871797642944023
BFirm,l-glutamic (n)|rch2_defined_glucose_nonitrogen|30,5428,0.4649713443985587,0.2298918984879385
BFirm,l-glutamine (c)|rch2_defined_nocarbon|30,5428,0.3442297786609507,0.17045116259951248
BFirm,l-glutamine (n)|rch2_defined_glucose_nonitrogen|30,5428,0.35182711413138845,0.17466024703914212
BFirm,l-histidine (c)|rch2_defined_nocarbon|30,5428,0.2798625022344435,0.13896158717283974
BFirm,l-histidine|rch2_defined_glucose|30,10856,0.31102649956192674,0.15525886479480544
BFirm,l-isoleucine (n)|rch2_defined_glucose_nonitrogen|30,5428,0.44799348264508,0.2231159600823335
BFirm,l-lactate (c)|rch2_defined_nocarbon|30,5428,0.27076218663164653,0.13466074770788675
BFirm,l-lysine (n)|rch2_defined_glucose_nonitrogen|30,5428,0.532958239963156,0.269199725926761
BFirm,l-malic (c)|rch2_defined_nocarbon|30,5428,0.262094399573597,0.13075728514699902
