orgId,name,Media,expGroup,condition_1,concentration_1,units_1,condition_2,concentration_2,units_2,condition_3,concentration_3,units_3,condition_4,concentration_4,units_4,temperature,pH,aerobic,shaking,growthMethod
Btheta,set3IT071,BHIS,stress,Sodium perchlorate monohydrate,150,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT072,BHIS,stress,Sodium Chloride,350,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT078,BHIS,stress,sodium fluoride,30,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT079,BHIS,stress,Paraquat dichloride,0.1,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT085,BHIS,stress,Sodium perchlorate monohydrate,100,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT086,BHIS,stress,Sodium perchlorate monohydrate,150,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT092,BHIS,stress,Benzethonium chloride,0.002,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT094,BHIS,stress,Fusidic acid sodium salt,0.002,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT095,BHIS,stress,Fusidic acid sodium salt,0.004,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT001,BHIS,stress,Dimethyl Sulfoxide,9,vol%,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT002,BHIS,stress,Dimethyl Sulfoxide,10,vol%,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT004,BHIS,stress,Vancomycin Hydrochloride Hydrate,0.016,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT006,BHIS,stress,Cephalothin sodium salt,0.625,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT008,BHIS,stress,Lomefloxacin hydrochloride,0.025,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT009,BHIS,stress,Ceftazidime hydrate,0.5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT011,BHIS,stress,Benzethonium chloride,0.002,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT013,BHIS,stress,Fusidic acid sodium salt,0.002,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT014,BHIS,stress,Fusidic acid sodium salt,0.004,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT016,BHIS,stress,Dimethyl Sulfoxide,9,vol%,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT017,BHIS,stress,Dimethyl Sulfoxide,10,vol%,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT019,BHIS,stress,Vancomycin Hydrochloride Hydrate,0.016,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT021,BHIS,stress,Cephalothin sodium salt,0.625,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT023,BHIS,stress,Lomefloxacin hydrochloride,0.025,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT038,Varel_Bryant_medium,carbon source,Heparin sodium salt from porcine intestinal mucosa,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT039,Varel_Bryant_medium,carbon source,Heparin sodium salt from porcine intestinal mucosa,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT042,Varel_Bryant_medium,carbon source,amylopectin from maize,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT043,Varel_Bryant_medium,carbon source,amylopectin from maize,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT044,Varel_Bryant_medium,carbon source,Starch,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT045,Varel_Bryant_medium,carbon source,Starch,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT047,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT048,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT049,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT050,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT053,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,L-Arginine,0.5,mM,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT055,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,L-Threonine,0.5,mM,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT056,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,20AA_mix,1,X,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set4IT057,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,20AA_mix,1,X,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT005,Varel_Bryant_medium_noNitrogen,nitrogen source,Gly-DL-Asp,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT006,Varel_Bryant_medium_noNitrogen,nitrogen source,N-Acetyl-D-Glucosamine,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT007,Varel_Bryant_medium_noNitrogen,nitrogen source,D-Glucosamine Hydrochloride,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT008,Varel_Bryant_medium_noNitrogen,nitrogen source,Glucuronamide,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT009,Varel_Bryant_medium_noNitrogen,nitrogen source,Ammonium chloride,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT010,Varel_Bryant_medium_noNitrogen,nitrogen source,L-Aspartic Acid,6,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT011,Varel_Bryant_medium_noNitrogen,nitrogen source,L-Glutamine,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT012,Varel_Bryant_medium_noNitrogen,nitrogen source,Glycine,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT013,Varel_Bryant_medium_noNitrogen,nitrogen source,L-Valine,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT014,Varel_Bryant_medium_noNitrogen,nitrogen source,L-Leucine,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT015,Varel_Bryant_medium_noNitrogen,nitrogen source,D-Serine,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT016,Varel_Bryant_medium_noNitrogen,nitrogen source,Gly-DL-Asp,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT017,Varel_Bryant_medium_noNitrogen,nitrogen source,casamino acids,2,mg/mL,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT018,Varel_Bryant_medium_noNitrogen,nitrogen source,N-Acetyl-D-Glucosamine,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT019,Varel_Bryant_medium_noNitrogen,nitrogen source,D-Glucosamine Hydrochloride,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT020,Varel_Bryant_medium_noNitrogen,nitrogen source,Thymidine,10,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT021,Varel_Bryant_medium_noNitrogen,nitrogen source,Cytidine,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT022,Varel_Bryant_medium_noNitrogen,nitrogen source,Glucuronamide,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT023,Varel_Bryant_medium_noNitrogen,nitrogen source,Ammonium chloride,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT025,Varel_Bryant_medium_Glucose,stress,Nickel (II) chloride hexahydrate,0.01,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT026,Varel_Bryant_medium_Glucose,stress,Nickel (II) chloride hexahydrate,0.1,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT028,Varel_Bryant_medium_Glucose,stress,Cobalt chloride hexahydrate,0.005,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT029,Varel_Bryant_medium_Glucose,stress,Cobalt chloride hexahydrate,0.05,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT031,Varel_Bryant_medium_Glucose,stress,copper (II) chloride dihydrate,0.05,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT032,Varel_Bryant_medium_Glucose,stress,copper (II) chloride dihydrate,1,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT033,Varel_Bryant_medium_Glucose,stress,Thallium(I) acetate,0.01,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT034,Varel_Bryant_medium_Glucose,stress,Thallium(I) acetate,0.025,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT035,Varel_Bryant_medium_Glucose,stress,Thallium(I) acetate,0.05,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT038,Varel_Bryant_medium_Glucose,stress,Nickel (II) chloride hexahydrate,0.1,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT040,Varel_Bryant_medium_Glucose,stress,Cobalt chloride hexahydrate,0.005,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT041,Varel_Bryant_medium_Glucose,stress,Cobalt chloride hexahydrate,0.05,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT042,Varel_Bryant_medium_Glucose,stress,Cobalt chloride hexahydrate,0.5,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT043,Varel_Bryant_medium_Glucose,stress,copper (II) chloride dihydrate,0.05,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT044,Varel_Bryant_medium_Glucose,stress,copper (II) chloride dihydrate,1,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT045,Varel_Bryant_medium_Glucose,stress,Thallium(I) acetate,0.01,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
